uid expr treatment rep update lineage_label
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 26900 4.50736
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 27000 4.5064
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 27100 4.50756
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 27200 4.5099
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 27300 4.49643
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 27400 4.48976
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 27500 4.49108
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 27600 4.49081
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 27700 4.49234
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 27800 4.48951
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 27900 4.4855
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 28000 4.48132
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 28100 4.49302
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 28200 4.48938
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 28300 4.48116
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 28400 4.47778
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 28500 4.46964
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 28600 4.46162
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 28700 4.45566
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 28800 4.44813
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 28900 4.44993
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 29000 4.45339
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 29100 4.46037
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 29200 4.46405
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 29300 4.46167
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 29400 4.46463
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 29500 4.46597
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 29600 4.46498
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 29700 4.46359
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 29800 4.46995
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 29900 4.47233
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 30000 4.45983
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 30100 4.46256
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 30200 4.45635
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 30300 4.46414
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 30400 4.47033
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 30500 4.46077
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 30600 4.46119
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 30700 4.46844
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 30800 4.46529
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 30900 4.46128
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 31000 4.45766
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 31100 4.45339
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 31200 4.45072
task_6lin_10k-u-0002_61 task_6lin 10k-u-0002-long 61 31300 4.4472
